Judul Berita,Keyword,Sumber Berita,Tanggal Terbit,URL
"Stabilkan Inflasi, Pemkot Jambi Selenggarakan Gerakan Pangan Murah",Harga beras,Detik.com,2025-12-31,https://finance.detik.com/foto-bisnis/d-8214898/stabilkan-inflasi-pemkot-jambi-selenggarakan-gerakan-pangan-murah
"Pemerintah Mau Serap Beras Petani hingga 2,5 Juta Ton di Awal 2026",Harga beras,Detik.com,2025-12-31,https://finance.detik.com/berita-ekonomi-bisnis/d-8284810/pemerintah-mau-serap-beras-petani-hingga-2-5-juta-ton-di-awal-2026
Menuju 2026 Tanpa Impor Beras,Harga beras,Detik.com,2025-12-31,https://www.detik.com/kalimantan/bisnis/d-8284241/menuju-2026-tanpa-impor-beras
"Harga Tomat di Sumut Anjlok, Dijual Cuma Rp 4.000/Kg",Harga tomat,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8223259/harga-tomat-di-sumut-anjlok-dijual-cuma-rp-4-000-kg
Harga Kamar Hotel di Kawasan Danau Toba Melambung Jelang Tahun Baru,Harga tomat,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8284490/harga-kamar-hotel-di-kawasan-danau-toba-melambung-jelang-tahun-baru
"Harga Cabai Melonjak di Penghujung 2025, Cuaca Ekstrem Jadi Penyebab",Harga tomat,Detik.com,2025-12-31,https://www.detik.com/bali/bisnis/d-8284697/harga-cabai-melonjak-di-penghujung-2025-cuaca-ekstrem-jadi-penyebab
"Harga Rumah Subsidi 2026 Tak Naik, Pengembang Ngeluh Harga Material-Tanah Mahal",Harga tomat,Detik.com,2025-12-31,https://www.detik.com/properti/berita/d-8284179/harga-rumah-subsidi-2026-tak-naik-pengembang-ngeluh-harga-material-tanah-mahal
Satgas Pangan Polri Salurkan 196 Ribu Ton Beras demi Jaga Harga Stabil,Harga tomat,Detik.com,2025-12-31,https://news.detik.com/berita/d-8284623/satgas-pangan-polri-salurkan-196-ribu-ton-beras-demi-jaga-harga-stabil
"Hasil Panen Melimpah, Harga Tomat di Binjai Dijual Mulai Rp 4.000 per Kg",Harga tomat,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8257404/hasil-panen-melimpah-harga-tomat-di-binjai-dijual-mulai-rp-4-000-per-kg
Harga Tomat Malino di Gowa Turun,Harga tomat,Detik.com,2025-12-31,https://finance.detik.com/foto-bisnis/d-6802421/harga-tomat-malino-di-gowa-turun
"Harga Tomat dan Cabai Anjlok, NTB Deflasi 0,41% Agustus 2025",Harga tomat,Detik.com,2025-12-31,https://www.detik.com/bali/bisnis/d-8091426/harga-tomat-dan-cabai-anjlok-ntb-deflasi-0-41-agustus-2025
"Harga Tomat Naik, Pedagang di Pasar Induk Mandalika Mengeluh Pembeli Sepi",Harga tomat,Detik.com,2025-12-31,https://www.detik.com/bali/nusra/d-7995574/harga-tomat-naik-pedagang-di-pasar-induk-mandalika-mengeluh-pembeli-sepi
"Jelang Musim Hujan, Harga Cabai dan Tomat di Surabaya Meroket",Harga tomat,Detik.com,2025-12-31,https://www.detik.com/jatim/bisnis/d-8181957/jelang-musim-hujan-harga-cabai-dan-tomat-di-surabaya-meroket
Melonjaknya Harga Daging dan Telur Ayam di Bandung,Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/jabar/berita/d-8282947/melonjaknya-harga-daging-dan-telur-ayam-di-bandung
"Jelang Nataru, Harga Telur Ayam di Palembang Capai Rp 29.000/Kg",Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/sumbagsel/bisnis/d-8272400/jelang-nataru-harga-telur-ayam-di-palembang-capai-rp-29-000-kg
Harga Telur dan Ayam Potong di Musi Rawas Naik Jelang Tahun Baru,Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/sumbagsel/berita/d-8278875/harga-telur-dan-ayam-potong-di-musi-rawas-naik-jelang-tahun-baru
Harga Telur Ayam Terus Meroket!,Harga telur ayam,Detik.com,2025-12-31,https://20.detik.com/detikupdate/20230527-230527061/harga-telur-ayam-terus-meroket
"Harga Ayam di Medan Meroket, Warung Ayam Penyet Pilih Tutup",Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8282360/harga-ayam-di-medan-meroket-warung-ayam-penyet-pilih-tutup
"Harga Telur Ayam di Lubuklinggau Melonjak Naik, Ini Penyebabnya",Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/sumbagsel/bisnis/d-8261198/harga-telur-ayam-di-lubuklinggau-melonjak-naik-ini-penyebabnya
Harga Daging Ayam di Bandung Tembus Rp40 Ribu Jelang Tahun Baru,Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/jabar/bisnis/d-8282108/harga-daging-ayam-di-bandung-tembus-rp40-ribu-jelang-tahun-baru
"Pasokan Aman, Harga Telur Ayam Tetap Stabil Jelang Natal dan Tahun Baru",Harga telur ayam,Detik.com,2025-12-31,https://finance.detik.com/foto-bisnis/d-8266561/pasokan-aman-harga-telur-ayam-tetap-stabil-jelang-natal-dan-tahun-baru
"Harga Telur Ayam di Sumut Naik, Disperindag Sebut Permintaan Pasokan MBG Tinggi",Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/sumut/bisnis/d-8147735/harga-telur-ayam-di-sumut-naik-disperindag-sebut-permintaan-pasokan-mbg-tinggi
"Harga Sembako Jatim 22 November 2025, Harga Telur Ayam Rp 27.968 Per Kilogram",Harga telur ayam,Detik.com,2025-12-31,https://www.detik.com/jatim/bisnis/d-8223080/harga-sembako-jatim-22-november-2025-harga-telur-ayam-rp-27-968-per-kilogram
Pengembang Cemas Cuan Makin Tipis Imbas Harga Rumah Subsidi Tak Naik,Harga naik ,Detik.com,2025-12-31,https://www.detik.com/properti/berita/d-8284306/pengembang-cemas-cuan-makin-tipis-imbas-harga-rumah-subsidi-tak-naik
